Bucketed Score,Intersection,Lat,Long,Raw Score,Accidents,Traffic
10.0,Baruch Place & Delancey Street,40.7156953,-73.9780783,0.0342,11,322
10.0,Saint Nicholas Avenue & West 185th Street,40.851696,-73.931995,0.0342,32,937
10.0,Henry Street & Market Street,40.713021,-73.994459,0.0342,78,2284
10.0,Bogardus Place & Ellwood Street,40.859545,-73.927977,0.0337,14,415
10.0,Riverside Drive,40.8487315,-73.9430547,0.0336,24,715
10.0,Lafayette Plaza & Riverside Drive,40.8517114,-73.9419631,0.0336,24,715
10.0,Dyckman Street,40.8687924,-73.9311553,0.0335,7,209
10.0,Jumel Terrace & Sylvan Terrace,40.834536,-73.938965,0.0328,2,61
10.0,Nagle Avenue,40.860956,-73.926502,0.0327,41,1252
10.0,Fort Washington Avenue & West 173rd Street,40.845369,-73.940518,0.0325,28,862
10.0,Saint Nicholas Avenue & West 159th Street,40.833786,-73.94036,0.0324,7,216
10.0,Audubon Avenue & West 182nd Street,40.849309,-73.931917,0.0324,27,834
10.0,Adam Clayton Powell Jr. Boulevard & West 137th Street,40.8165703,-73.9426963,0.0323,37,1146
10.0,Broadway & Dongan Place,40.8634187,-73.9300194,0.0321,29,903
10.0,Nagle Avenue & Sickles Street,40.860657,-73.9273,0.032,33,1030
10.0,Jumel Terrace & West 162nd Street,40.835196,-73.938489,0.032,4,125
10.0,Henry Hudson Parkway,40.8414105,-73.9456793,0.0319,105,3296
10.0,Duane Street,40.7141186,-74.0034172,0.0318,10,314
10.0,N/A,40.8279957,-73.93472,0.0318,95,2989
10.0,10th Avenue & Isham Street,40.8655852,-73.9181211,0.0316,14,443
10.0,Bennett Avenue & Overlook Terrace,40.852339,-73.935716,0.0316,29,918
10.0,Amsterdam Avenue & West 139th Street,40.8214395,-73.9503639,0.0316,27,855
10.0,10th Avenue & Sherman Avenue,40.866813,-73.917205,0.0315,18,571
10.0,Saint Nicholas Avenue & West 175th Street,40.845434,-73.93657,0.0313,17,543
10.0,Saint Nicholas Avenue & West 153rd Street,40.8294451,-73.9419432,0.0311,18,579
10.0,3rd Avenue & East 124th Street,40.803024,-73.93631,0.031,131,4223
10.0,Morningside Avenue & West 124th Street,40.810687,-73.954513,0.031,16,516
10.0,Malcolm X Boulevard & West 126th Street,40.8084812,-73.945077,0.0307,83,2705
10.0,Pinehurst Avenue & West 183rd Street,40.8523449,-73.9387583,0.0299,10,334
10.0,N/A,40.8034229,-73.9306808,0.0299,5,167
10.0,Malcolm X Boulevard,40.8197562,-73.9366544,0.0299,38,1272
10.0,10th Avenue & 9th Avenue,40.8608339,-73.9215645,0.0299,6,201
10.0,Frederick Douglass Boulevard & West 149th Street,40.825379,-73.940054,0.0298,32,1075
10.0,N/A,40.8183196,-73.9342236,0.0297,38,1281
10.0,3rd Avenue & East 126th Street,40.8043853,-73.9353347,0.0296,44,1488
10.0,Dyckman Street,40.8690905,-73.9315191,0.0296,6,203
10.0,Hamilton Place & West 142nd Street,40.8236097,-73.9496898,0.0295,17,576
10.0,5th Avenue & East 135th Street,40.812748,-73.937635,0.0295,135,4576
10.0,East 126th Street & Park Avenue,40.8056738,-73.9384143,0.0292,73,2496
10.0,Audubon Avenue & West 175th Street,40.844846,-73.935181,0.029,30,1035
10.0,Broadway & West 184th Street,40.852058,-73.934776,0.0287,72,2506
10.0,Adam Clayton Powell Jr. Boulevard & West 149th Street,40.8242288,-73.9373192,0.0286,8,280
10.0,2nd Avenue & East 117th Street,40.7976795,-73.9372797,0.0285,59,2067
10.0,Adam Clayton Powell Jr. Boulevard & West 126th Street,40.8096735,-73.9479141,0.0285,51,1788
10.0,Harlem River Drive,40.8064879,-73.9333003,0.0284,146,5148
10.0,Adam Clayton Powell Jr. Boulevard & West 134th Street,40.814609,-73.944122,0.0283,43,1517
10.0,Broadway & West 145th Street,40.8264178,-73.9503944,0.0283,130,4598
10.0,Amsterdam Avenue & Hamilton Place,40.8245499,-73.9480922,0.0283,37,1309
10.0,Frederick Douglass Boulevard & West 133rd Street,40.815207,-73.947489,0.0282,29,1029
10.0,Amsterdam Avenue & West 138th Street,40.8208228,-73.9508143,0.0281,31,1102
10.0,Saint Nicholas Avenue & West 180th Street,40.848626,-73.934239,0.0281,47,1672
10.0,Hamilton Place & West 139th Street,40.8221718,-73.9520987,0.0281,12,427
10.0,Colonel Robert Magaw Place & West 181st Street,40.850645,-73.937365,0.0281,20,712
10.0,Riverside Drive,40.832697,-73.949714,0.0277,30,1084
10.0,10th Avenue & Nagle Avenue,40.863121,-73.9206112,0.0277,63,2277
10.0,Broadway & West 181st Street,40.8501764,-73.9357231,0.0276,89,3223
10.0,Adam Clayton Powell Jr. Boulevard & West 113th Street,40.8012531,-73.9538421,0.0276,25,907
10.0,Fort Washington Avenue & West 162nd Street,40.8377866,-73.9440172,0.0274,28,1022
10.0,Amsterdam Avenue & West 134th Street,40.8182304,-73.9527076,0.0272,27,991
9.0,Sherman Avenue & West 207th Street,40.865797,-73.919996,0.0272,96,3534
9.0,Bradhurst Avenue,40.822052,-73.944049,0.0271,6,221
9.0,Malcolm X Boulevard & West 141st Street,40.8178749,-73.9380263,0.0271,42,1552
9.0,Macombs Place & West 150th Street,40.8258956,-73.9393527,0.027,17,630
9.0,Stanton Street,40.7187534,-73.9795703,0.027,16,593
9.0,Malcolm X Boulevard & West 138th Street,40.815997,-73.9393897,0.0269,62,2301
9.0,N/A,40.7623056,-73.9545702,0.0268,269,10019
9.0,Bayard Street & Elizabeth Street,40.7153606,-73.9977162,0.0268,72,2687
9.0,Amsterdam Avenue & West 149th Street,40.8277683,-73.9457415,0.0267,41,1534
9.0,Gouverneur Slip East & Water Street,40.711342,-73.983319,0.0267,2,75
9.0,Amsterdam Avenue & West 150th Street,40.8283947,-73.9452839,0.0266,43,1618
9.0,5th Avenue & East 128th Street,40.808334,-73.940861,0.0264,40,1517
9.0,Saint Nicholas Avenue & Wadsworth Avenue,40.856606,-73.928411,0.0263,5,190
9.0,2nd Avenue & East 126th Street,40.8034314,-73.9330787,0.0263,137,5209
9.0,Amsterdam Avenue & West 175th Street,40.8442431,-73.9337066,0.0263,35,1333
9.0,Adam Clayton Powell Jr. Boulevard & West 147th Street,40.8229651,-73.938212,0.0262,13,497
9.0,Saint Nicholas Avenue,40.8402585,-73.9396778,0.0261,6,230
9.0,9th Avenue & West 220th Street,40.8716544,-73.9112343,0.026,103,3955
9.0,Canal Street & Elizabeth Street,40.7165615,-73.9969813,0.0259,146,5632
9.0,East 131st Street & Madison Avenue,40.8095224,-73.9378749,0.0258,44,1703
9.0,2nd Avenue & East 115th Street,40.7963153,-73.9382745,0.0258,75,2904
9.0,Arden Street & Broadway,40.8646634,-73.9289023,0.0256,30,1170
9.0,Ellwood Street,40.8621541,-73.9296507,0.0256,5,195
9.0,South Street,40.7089526,-73.9978264,0.0256,222,8677
9.0,N/A,40.7016179,-74.0139629,0.0255,6,235
9.0,5th Avenue & Chisum Place,40.8165371,-73.9349059,0.0254,18,710
9.0,Broadway & West 190th Street,40.856503,-73.932761,0.0253,31,1223
9.0,Malcolm X Boulevard,40.8172567,-73.9384793,0.0253,46,1815
9.0,Amsterdam Avenue & West 182nd Street,40.8486927,-73.9304556,0.025,1,40
9.0,Malcolm X Boulevard & West 135th Street,40.8140745,-73.9407852,0.0248,137,5535
9.0,Adam Clayton Powell Jr. Boulevard & West 135th Street,40.8152715,-73.9436452,0.0247,132,5338
9.0,Saint Nicholas Avenue & West 183rd Street,40.850506,-73.932861,0.0245,30,1222
9.0,Audubon Avenue & West 180th Street,40.848038,-73.932849,0.0245,49,1999
9.0,Dyckman Street & Sherman Avenue,40.863575,-73.926011,0.0245,96,3926
9.0,Academy Street & Nagle Avenue,40.8624952,-73.9225476,0.0242,4,165
9.0,Nagle Avenue,40.8617455,-73.9240648,0.0238,1,42
9.0,Amsterdam Avenue & West 189th Street,40.8531111,-73.9272272,0.0238,13,547
9.0,Frederick Douglass Boulevard & West 141st Street,40.8202938,-73.9437782,0.0237,38,1603
9.0,Adam Clayton Powell Jr. Boulevard & West 136th Street,40.8159502,-73.9431458,0.0236,35,1481
9.0,Arden Street & Sherman Avenue,40.862926,-73.927766,0.0235,32,1362
9.0,Fort Washington Avenue & West 161st Street,40.8370771,-73.9442977,0.0235,30,1277
9.0,5th Avenue & East 130th Street,40.809582,-73.939949,0.0234,30,1280
9.0,Riverside Drive & West 150th Street,40.830244,-73.949688,0.0234,19,811
9.0,Audubon Avenue & West 183rd Street,40.849921,-73.931472,0.0234,19,812
9.0,East 124th Street & Lexington Avenue,40.803699,-73.937914,0.0233,71,3044
9.0,Wadsworth Avenue & West 185th Street,40.852213,-73.933226,0.0233,21,901
9.0,East 132nd Street & Madison Avenue,40.8101617,-73.9374069,0.0233,102,4379
9.0,Fort Washington Avenue & West 174th Street,40.846048,-73.940241,0.023,15,653
9.0,Hester Street & Orchard Street,40.7160237,-73.9913112,0.0229,33,1439
9.0,Peck Slip & Water Street,40.7082735,-74.0018952,0.0229,15,655
9.0,Amsterdam Avenue,40.8415827,-73.9356526,0.0229,3,131
9.0,Amsterdam Avenue,40.8220613,-73.9499097,0.0228,33,1449
9.0,East 132nd Street,40.8094179,-73.9356814,0.0228,45,1976
9.0,Adam Clayton Powell Jr. Boulevard & West 131st Street,40.8127201,-73.9455002,0.0227,52,2290
9.0,Amsterdam Avenue & West 161st Street,40.8353595,-73.9401964,0.0227,29,1280
9.0,Lexington Avenue,40.80567,-73.936471,0.0225,19,843
9.0,Overlook Terrace & West 184th Street,40.8538229,-73.9363632,0.0224,7,312
9.0,Broadway & West 149th Street,40.8289444,-73.9485501,0.0222,53,2383
9.0,Laurel Hill Terrace,40.850694,-73.927477,0.0222,18,810
9.0,Adam Clayton Powell Jr. Boulevard & West 117th Street,40.8039386,-73.9521145,0.0222,35,1576
