PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2014-01-17,42,127,130,136,26
2014-01-18,45,110,79,92,22
2014-01-19,34,80,62,84,18
2014-01-20,36,75,68,78,13
2014-01-21,132,254,160,248,49
2014-01-22,34,130,120,102,19
2014-01-23,55,124,135,106,27
2014-01-24,62,149,136,128,28
2014-01-25,47,126,89,94,16
2014-01-26,62,96,71,94,16
2014-01-27,53,112,101,96,17
2014-01-28,56,127,109,90,18
2014-01-29,68,181,117,128,23
2014-01-30,55,168,133,133,26
2014-01-31,63,129,111,126,11
2014-02-01,56,125,86,93,19
2014-02-02,52,99,80,96,14
2014-02-03,107,230,132,250,57
2014-02-04,62,127,112,128,24
2014-02-05,58,118,99,99,12
2014-02-06,48,141,111,104,19
2014-02-07,64,162,130,142,24
2014-02-08,44,89,85,94,16
2014-02-09,55,105,61,114,13
2014-02-10,67,170,140,130,17
2014-02-11,76,139,123,120,27
2014-02-12,74,143,133,112,26
2014-02-13,43,97,65,110,21
2014-02-14,97,168,147,197,36
2014-02-15,74,122,75,117,34
2014-02-16,57,106,79,108,7
2014-02-17,50,121,56,110,16
2014-02-18,51,129,90,116,24
2014-02-19,53,137,120,110,18
2014-02-20,57,106,119,111,26
2014-02-21,41,114,134,125,9
2014-02-22,59,114,101,130,29
2014-02-23,52,88,80,68,17
2014-02-24,62,119,124,114,17
2014-02-25,58,107,100,112,17
2014-02-26,54,105,107,108,19
2014-02-27,39,151,96,112,26
2014-02-28,76,158,129,108,28
2014-03-01,49,103,98,95,17
2014-03-02,41,88,58,66,13
2014-03-03,53,115,83,95,13
2014-03-04,68,112,99,112,10
2014-03-05,55,119,92,100,19
2014-03-06,54,122,112,110,22
2014-03-07,47,125,102,115,17
2014-03-08,52,116,102,105,20
2014-03-09,31,110,74,82,11
2014-03-10,65,117,88,91,23
2014-03-11,42,124,106,105,18
2014-03-12,47,127,108,103,15
2014-03-13,53,129,103,97,25
2014-03-14,57,155,123,99,19
2014-03-15,33,120,106,108,13
2014-03-16,29,97,94,96,10
2014-03-17,48,128,113,105,13
2014-03-18,54,116,115,116,17
2014-03-19,44,137,107,98,16
2014-03-20,48,132,127,124,28
2014-03-21,70,138,113,105,21
2014-03-22,56,112,95,87,20
2014-03-23,38,104,92,83,8
2014-03-24,45,125,92,116,15
2014-03-25,57,107,93,107,17
2014-03-26,59,135,109,109,19
2014-03-27,57,120,114,106,21
2014-03-28,57,130,104,98,22
2014-03-29,66,124,119,136,18
2014-03-30,36,106,90,85,15
2014-03-31,50,126,103,123,16
2014-04-01,48,124,116,113,20
2014-04-02,44,126,116,101,15
2014-04-03,62,134,119,111,19
2014-04-04,57,161,121,115,17
2014-04-05,49,147,116,106,18
2014-04-06,37,110,106,95,14
2014-04-07,47,135,85,108,17
2014-04-08,59,149,127,109,21
2014-04-09,71,146,109,109,24
2014-04-10,49,165,144,123,26
2014-04-11,70,138,149,106,20
2014-04-12,56,115,108,122,20
2014-04-13,50,112,96,101,13
2014-04-14,45,129,104,96,9
2014-04-15,40,102,100,102,16
2014-04-16,64,123,122,97,15
2014-04-17,49,99,118,87,17
2014-04-18,49,117,97,89,15
2014-04-19,64,107,105,114,14
2014-04-20,35,93,82,82,7
2014-04-21,52,107,83,119,13
2014-04-22,45,87,99,99,12
2014-04-23,37,119,134,114,17
2014-04-24,46,140,142,98,17
2014-04-25,58,145,136,110,22
2014-04-26,51,115,119,122,16
2014-04-27,39,100,86,87,11
2014-04-28,55,153,107,114,19
2014-04-29,46,113,117,135,16
2014-04-30,54,156,152,118,21
2014-05-01,70,172,123,108,15
