Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,Jumel Terrace & West 162nd Street,40.835196,-73.938489,80.0,1,125
10.0,Broadway & West 184th Street,40.852058,-73.934776,79.81,20,2506
10.0,9th Avenue & West 207th Street,40.863691,-73.917063,79.54,29,3646
10.0,Broadway & West 175th Street,40.846193,-73.938451,77.82,6,771
10.0,Frederick Douglass Boulevard & West 133rd Street,40.815207,-73.947489,77.75,8,1029
10.0,Fort Washington Avenue & West 174th Street,40.846048,-73.940241,76.57,5,653
10.0,Saint Nicholas Avenue & West 188th Street,40.853685,-73.930539,76.45,5,654
10.0,Saint Nicholas Terrace & West 128th Street,40.81294,-73.95177,76.34,2,262
10.0,Adam Clayton Powell Jr. Boulevard & West 115th Street,40.8025125,-73.952928,76.09,14,1840
10.0,Amsterdam Avenue & West 150th Street,40.8283947,-73.9452839,74.17,12,1618
10.0,5th Avenue & West 139th Street,40.815326,-73.935756,74.16,13,1753
10.0,Laurel Hill Terrace,40.850694,-73.927477,74.07,6,810
10.0,Audubon Avenue & West 189th Street,40.853724,-73.928692,74.07,2,270
10.0,3rd Avenue & East 126th Street,40.8043853,-73.9353347,73.92,11,1488
10.0,Amsterdam Avenue & West 189th Street,40.8531111,-73.9272272,73.13,4,547
10.0,Audubon Avenue & West 176th Street,40.84552,-73.934686,72.73,2,275
10.0,Amsterdam Avenue & West 131st Street,40.8163558,-73.9540766,71.94,6,834
10.0,Saint Nicholas Avenue & West 186th Street,40.85238,-73.931495,71.51,6,839
10.0,Adam Clayton Powell Jr. Boulevard & West 133rd Street,40.8139879,-73.9445752,71.43,10,1400
10.0,West 125th Street,40.817007,-73.959493,70.83,21,2965
10.0,Malcolm X Boulevard & West 130th Street,40.8109749,-73.9432528,70.67,8,1132
10.0,Amsterdam Avenue & West 134th Street,40.8182304,-73.9527076,70.64,7,991
10.0,Bennett Avenue & West 186th Street,40.853479,-73.935133,70.42,3,426
10.0,5th Avenue & East 130th Street,40.809582,-73.939949,70.31,9,1280
10.0,Hamilton Place & West 139th Street,40.8221718,-73.9520987,70.26,3,427
10.0,Malcolm X Boulevard & West 127th Street,40.8091051,-73.9446164,69.89,13,1860
10.0,Broadway & West 162nd Street,40.837168,-73.9425447,69.83,10,1432
10.0,Wadsworth Avenue & West 189th Street,40.8548129,-73.9313354,69.77,3,430
10.0,10th Avenue & West 207th Street,40.864463,-73.918943,69.28,26,3753
10.0,Saint Nicholas Avenue & West 182nd Street,40.849895,-73.93331,69.23,9,1300
10.0,Malcolm X Boulevard & West 113th Street,40.800066,-73.9510418,68.69,7,1019
10.0,Malcolm X Boulevard & West 131st Street,40.8116007,-73.9428003,67.86,14,2063
10.0,Audubon Avenue & West 175th Street,40.844846,-73.935181,67.63,7,1035
10.0,Amsterdam Avenue & West 175th Street,40.8442431,-73.9337066,67.52,9,1333
10.0,Audubon Avenue & West 181st Street,40.848735,-73.932337,67.04,12,1790
10.0,Amsterdam Avenue & West 183rd Street,40.8493104,-73.9300043,66.89,2,299
10.0,Malcolm X Boulevard & West 126th Street,40.8084812,-73.945077,66.54,18,2705
10.0,East 124th Street & Lexington Avenue,40.803699,-73.937914,65.7,20,3044
10.0,Amsterdam Avenue & West 149th Street,40.8277683,-73.9457415,65.19,10,1534
10.0,Seaman Avenue & West 204th Street,40.868473,-73.924038,64.94,5,770
10.0,Nagle Avenue,40.860956,-73.926502,63.9,8,1252
10.0,Edgecombe Avenue,40.8406476,-73.9353921,63.69,1,157
10.0,Dyckman Street & Sherman Avenue,40.863575,-73.926011,63.68,25,3926
10.0,Isham Street & Seaman Avenue,40.869877,-73.920897,63.39,4,631
